"PAXSTAT"	"PAXCAL"	"PAXDAY"	"PAXN"	"PAXHOUR"	"PAXMINUT"	"PAXINTEN"	"PAXSTEP"
1	2	2	1	0	0	0	0
1	2	2	2	0	1	0	0
1	2	2	3	0	2	0	0
1	2	2	4	0	3	0	0
1	2	2	5	0	4	0	0
1	2	2	6	0	5	0	0
1	2	2	7	0	6	0	0
1	2	2	8	0	7	0	0
1	2	2	9	0	8	0	0
1	2	2	10	0	9	0	0
1	2	2	11	0	10	0	0
1	2	2	12	0	11	0	0
1	2	2	13	0	12	0	0
1	2	2	14	0	13	0	0
1	2	2	15	0	14	0	0
1	2	2	16	0	15	0	0
1	2	2	17	0	16	0	0
1	2	2	18	0	17	0	0
1	2	2	19	0	18	0	0
1	2	2	20	0	19	0	0
1	2	2	21	0	20	0	0
1	2	2	22	0	21	0	0
1	2	2	23	0	22	0	0
1	2	2	24	0	23	0	0
1	2	2	25	0	24	0	0
1	2	2	26	0	25	0	0
1	2	2	27	0	26	0	0
1	2	2	28	0	27	0	0
1	2	2	29	0	28	0	0
1	2	2	30	0	29	0	0
1	2	2	31	0	30	0	0
1	2	2	32	0	31	0	0
1	2	2	33	0	32	0	0
1	2	2	34	0	33	0	0
1	2	2	35	0	34	0	0
1	2	2	36	0	35	0	0
1	2	2	37	0	36	0	0
1	2	2	38	0	37	0	0
1	2	2	39	0	38	0	0
1	2	2	40	0	39	0	0
1	2	2	41	0	40	0	0
1	2	2	42	0	41	0	0
1	2	2	43	0	42	0	0
1	2	2	44	0	43	0	0
1	2	2	45	0	44	0	0
1	2	2	46	0	45	0	0
1	2	2	47	0	46	0	0
1	2	2	48	0	47	0	0
1	2	2	49	0	48	0	0
1	2	2	50	0	49	0	0
1	2	2	51	0	50	0	0
1	2	2	52	0	51	0	0
1	2	2	53	0	52	0	0
1	2	2	54	0	53	0	0
1	2	2	55	0	54	0	0
1	2	2	56	0	55	0	0
1	2	2	57	0	56	0	0
1	2	2	58	0	57	0	0
1	2	2	59	0	58	0	0
1	2	2	60	0	59	0	0
1	2	2	61	1	0	0	0
1	2	2	62	1	1	0	0
1	2	2	63	1	2	0	0
1	2	2	64	1	3	0	0
1	2	2	65	1	4	0	0
1	2	2	66	1	5	0	0
1	2	2	67	1	6	0	0
1	2	2	68	1	7	0	0
1	2	2	69	1	8	0	0
1	2	2	70	1	9	0	0
1	2	2	71	1	10	0	0
1	2	2	72	1	11	0	0
1	2	2	73	1	12	0	0
1	2	2	74	1	13	0	0
1	2	2	75	1	14	0	0
1	2	2	76	1	15	0	0
1	2	2	77	1	16	0	0
1	2	2	78	1	17	0	0
1	2	2	79	1	18	0	0
1	2	2	80	1	19	0	0
1	2	2	81	1	20	0	0
1	2	2	82	1	21	0	0
1	2	2	83	1	22	0	0
1	2	2	84	1	23	0	0
1	2	2	85	1	24	0	0
1	2	2	86	1	25	0	0
1	2	2	87	1	26	0	0
1	2	2	88	1	27	0	0
1	2	2	89	1	28	0	0
1	2	2	90	1	29	0	0
1	2	2	91	1	30	0	0
1	2	2	92	1	31	0	0
1	2	2	93	1	32	0	0
1	2	2	94	1	33	0	0
1	2	2	95	1	34	0	0
1	2	2	96	1	35	0	0
1	2	2	97	1	36	0	0
1	2	2	98	1	37	0	0
1	2	2	99	1	38	0	0
1	2	2	100	1	39	0	0
1	2	2	101	1	40	0	0
1	2	2	102	1	41	0	0
1	2	2	103	1	42	0	0
1	2	2	104	1	43	0	0
1	2	2	105	1	44	0	0
1	2	2	106	1	45	0	0
1	2	2	107	1	46	0	0
1	2	2	108	1	47	0	0
1	2	2	109	1	48	0	0
1	2	2	110	1	49	0	0
1	2	2	111	1	50	0	0
1	2	2	112	1	51	0	0
1	2	2	113	1	52	0	0
1	2	2	114	1	53	0	0
1	2	2	115	1	54	0	0
1	2	2	116	1	55	0	0
1	2	2	117	1	56	0	0
1	2	2	118	1	57	0	0
1	2	2	119	1	58	0	0
1	2	2	120	1	59	0	0
1	2	2	121	2	0	0	0
1	2	2	122	2	1	0	0
1	2	2	123	2	2	0	0
1	2	2	124	2	3	0	0
1	2	2	125	2	4	0	0
1	2	2	126	2	5	0	0
1	2	2	127	2	6	0	0
1	2	2	128	2	7	0	0
1	2	2	129	2	8	0	0
1	2	2	130	2	9	0	0
1	2	2	131	2	10	0	0
1	2	2	132	2	11	0	0
1	2	2	133	2	12	0	0
1	2	2	134	2	13	0	0
1	2	2	135	2	14	0	0
1	2	2	136	2	15	0	0
1	2	2	137	2	16	0	0
1	2	2	138	2	17	0	0
1	2	2	139	2	18	0	0
1	2	2	140	2	19	0	0
1	2	2	141	2	20	0	0
1	2	2	142	2	21	0	0
1	2	2	143	2	22	0	0
1	2	2	144	2	23	0	0
1	2	2	145	2	24	0	0
1	2	2	146	2	25	0	0
1	2	2	147	2	26	0	0
1	2	2	148	2	27	0	0
1	2	2	149	2	28	0	0
1	2	2	150	2	29	0	0
1	2	2	151	2	30	0	0
1	2	2	152	2	31	0	0
1	2	2	153	2	32	0	0
1	2	2	154	2	33	0	0
1	2	2	155	2	34	0	0
1	2	2	156	2	35	0	0
1	2	2	157	2	36	0	0
1	2	2	158	2	37	0	0
1	2	2	159	2	38	0	0
1	2	2	160	2	39	0	0
1	2	2	161	2	40	0	0
1	2	2	162	2	41	0	0
1	2	2	163	2	42	0	0
1	2	2	164	2	43	0	0
1	2	2	165	2	44	0	0
1	2	2	166	2	45	0	0
1	2	2	167	2	46	0	0
1	2	2	168	2	47	0	0
1	2	2	169	2	48	0	0
1	2	2	170	2	49	0	0
1	2	2	171	2	50	0	0
1	2	2	172	2	51	0	0
1	2	2	173	2	52	0	0
1	2	2	174	2	53	0	0
1	2	2	175	2	54	0	0
1	2	2	176	2	55	0	0
1	2	2	177	2	56	0	0
1	2	2	178	2	57	0	0
1	2	2	179	2	58	0	0
1	2	2	180	2	59	0	0
1	2	2	181	3	0	0	0
1	2	2	182	3	1	0	0
1	2	2	183	3	2	0	0
1	2	2	184	3	3	0	0
1	2	2	185	3	4	0	0
1	2	2	186	3	5	0	0
1	2	2	187	3	6	0	0
1	2	2	188	3	7	0	0
1	2	2	189	3	8	0	0
1	2	2	190	3	9	0	0
1	2	2	191	3	10	0	0
1	2	2	192	3	11	0	0
1	2	2	193	3	12	0	0
1	2	2	194	3	13	0	0
1	2	2	195	3	14	0	0
1	2	2	196	3	15	0	0
1	2	2	197	3	16	0	0
1	2	2	198	3	17	0	0
1	2	2	199	3	18	0	0
1	2	2	200	3	19	0	0
1	2	2	201	3	20	0	0
1	2	2	202	3	21	0	0
1	2	2	203	3	22	0	0
1	2	2	204	3	23	0	0
1	2	2	205	3	24	0	0
1	2	2	206	3	25	0	0
1	2	2	207	3	26	0	0
1	2	2	208	3	27	0	0
1	2	2	209	3	28	0	0
1	2	2	210	3	29	0	0
1	2	2	211	3	30	0	0
1	2	2	212	3	31	0	0
1	2	2	213	3	32	0	0
1	2	2	214	3	33	0	0
1	2	2	215	3	34	0	0
1	2	2	216	3	35	0	0
1	2	2	217	3	36	0	0
1	2	2	218	3	37	0	0
1	2	2	219	3	38	0	0
1	2	2	220	3	39	0	0
1	2	2	221	3	40	0	0
1	2	2	222	3	41	0	0
1	2	2	223	3	42	0	0
1	2	2	224	3	43	0	0
1	2	2	225	3	44	0	0
1	2	2	226	3	45	0	0
1	2	2	227	3	46	0	0
1	2	2	228	3	47	0	0
1	2	2	229	3	48	0	0
1	2	2	230	3	49	0	0
1	2	2	231	3	50	0	0
1	2	2	232	3	51	0	0
1	2	2	233	3	52	0	0
1	2	2	234	3	53	0	0
1	2	2	235	3	54	0	0
1	2	2	236	3	55	0	0
1	2	2	237	3	56	0	0
1	2	2	238	3	57	0	0
1	2	2	239	3	58	0	0
1	2	2	240	3	59	0	0
1	2	2	241	4	0	0	0
1	2	2	242	4	1	0	0
1	2	2	243	4	2	0	0
1	2	2	244	4	3	0	0
1	2	2	245	4	4	0	0
1	2	2	246	4	5	0	0
1	2	2	247	4	6	0	0
1	2	2	248	4	7	0	0
1	2	2	249	4	8	0	0
1	2	2	250	4	9	0	0
1	2	2	251	4	10	0	0
1	2	2	252	4	11	0	0
1	2	2	253	4	12	0	0
1	2	2	254	4	13	0	0
1	2	2	255	4	14	0	0
1	2	2	256	4	15	0	0
1	2	2	257	4	16	0	0
1	2	2	258	4	17	0	0
1	2	2	259	4	18	0	0
1	2	2	260	4	19	0	0
1	2	2	261	4	20	0	0
1	2	2	262	4	21	0	0
1	2	2	263	4	22	0	0
1	2	2	264	4	23	0	0
1	2	2	265	4	24	0	0
1	2	2	266	4	25	0	0
1	2	2	267	4	26	0	0
1	2	2	268	4	27	0	0
1	2	2	269	4	28	0	0
1	2	2	270	4	29	0	0
1	2	2	271	4	30	0	0
1	2	2	272	4	31	0	0
1	2	2	273	4	32	0	0
1	2	2	274	4	33	0	0
1	2	2	275	4	34	0	0
1	2	2	276	4	35	0	0
1	2	2	277	4	36	0	0
1	2	2	278	4	37	0	0
1	2	2	279	4	38	0	0
1	2	2	280	4	39	0	0
1	2	2	281	4	40	0	0
1	2	2	282	4	41	0	0
1	2	2	283	4	42	0	0
1	2	2	284	4	43	0	0
1	2	2	285	4	44	0	0
1	2	2	286	4	45	0	0
1	2	2	287	4	46	0	0
1	2	2	288	4	47	0	0
1	2	2	289	4	48	0	0
1	2	2	290	4	49	0	0
1	2	2	291	4	50	0	0
1	2	2	292	4	51	0	0
1	2	2	293	4	52	0	0
1	2	2	294	4	53	0	0
1	2	2	295	4	54	0	0
1	2	2	296	4	55	0	0
1	2	2	297	4	56	0	0
1	2	2	298	4	57	0	0
1	2	2	299	4	58	0	0
1	2	2	300	4	59	0	0
1	2	2	301	5	0	0	0
1	2	2	302	5	1	0	0
1	2	2	303	5	2	0	0
1	2	2	304	5	3	0	0
1	2	2	305	5	4	0	0
1	2	2	306	5	5	0	0
1	2	2	307	5	6	0	0
1	2	2	308	5	7	0	0
1	2	2	309	5	8	0	0
1	2	2	310	5	9	0	0
1	2	2	311	5	10	0	0
1	2	2	312	5	11	0	0
1	2	2	313	5	12	0	0
1	2	2	314	5	13	0	0
1	2	2	315	5	14	0	0
1	2	2	316	5	15	0	0
1	2	2	317	5	16	0	0
1	2	2	318	5	17	0	0
1	2	2	319	5	18	0	0
1	2	2	320	5	19	0	0
1	2	2	321	5	20	0	0
1	2	2	322	5	21	0	0
1	2	2	323	5	22	0	0
1	2	2	324	5	23	0	0
1	2	2	325	5	24	0	0
1	2	2	326	5	25	0	0
1	2	2	327	5	26	0	0
1	2	2	328	5	27	0	0
1	2	2	329	5	28	0	0
1	2	2	330	5	29	0	0
1	2	2	331	5	30	0	0
